aam_name,location,location_solar_radiation,latitude,longitude,user_type,connection_type,bat_size
528,Calabar,Cross_River,4.980546,8.337248,micro_enterprise,active_grid,100
698,Calabar,Cross_River,5.0005392,8.3419492,household,grid,50
524,Uyo,Cross_River,5.025664,7.905952,household,grid,100
1167,Lagos,Lagos,6.6370417,3.3803933,micro_enterprise,grid,100
691,Gboko,Abuja,7.336764,9.005173,micro_enterprise,offgrid,50
602,Maraba,Abuja,7.5996183,7.5996183,micro_enterprise,grid,50
645,Makurdi,Abuja,7.72342,8.541556,household,generator,100
527,Maraba,Abuja,8.475312,8.585365,micro_enterprise,grid,50
654,Lafia,Abuja,8.494548,8.505777,household,offgrid,50
511,Lafia,Abuja,8.498564734,8.506979942,micro_enterprise,generator,50
663,Lafia,Abuja,8.511549,8.507851,micro_enterprise,offgrid,50
563,Kabusa,Abuja,8.967258,7.4546,household,grid,100
206,Maraba,Abuja,9.011953,7.649325,micro_enterprise,generator,50
1076,Maraba,Abuja,9.012958,7.604537,household,grid,100
576,Maraba,Abuja,9.025711,7.607765,micro_enterprise,grid,50
943,Maraba,Abuja,9.0293834,7.6010868,micro_enterprise,grid,100
283,Maraba,Abuja,9.0344284,7.6058305,micro_enterprise,grid,50
376,Maraba,Abuja,9.0393203,7.6014256,micro_enterprise,grid,50
316,Maraba,Abuja,9.0406849,7.6017644,micro_enterprise,offgrid,50
937,Maraba,Abuja,9.0424209,7.6075224,household,grid_offgrid,100
945,Abuja,Abuja,9.136733,7.366741,household,grid,100
557,,Abuja,,,,offgrid,50
661,,Abuja,,,,active_grid,100