log_date,aam_id,installation_date,company,country,location,latitude,longitude,product_name,pic_system,pic_solar
2021-08-01,937,2021-06-10,Creeds,Nigeria,Nasarawa,9.0424209,7.6075224,AAM3000,https://api.twilio.com/2010-04-01/Accounts/ACf3133f0d3d678bc436faac9eee8e41df/Messages/MMd65300d3e4a89d03e3f1f1c2c00da697/Media/ME4556e538bb5b7b2d6efee5fbaeeda6a3,https://api.twilio.com/2010-04-01/Accounts/ACf3133f0d3d678bc436faac9eee8e41df/Messages/MM492338d87479387f41ffbd70f7d16f34/Media/MEe41e2936682418ce0d24e93a5c4a2f5a
2021-08-01,943,2021-07-07,Creeds,Nigeria,Nasarawa,9.0293834,7.6010868,AAM3000,https://api.twilio.com/2010-04-01/Accounts/ACf3133f0d3d678bc436faac9eee8e41df/Messages/MM18a636a2c0296959a15365af43752109/Media/MEf69292b1ed05297b2315d7b63a8b8907,https://api.twilio.com/2010-04-01/Accounts/ACf3133f0d3d678bc436faac9eee8e41df/Messages/MM5309553e2e227036d737cea071d1cee7/Media/ME4c921c130d242e5d2a934c40221e0ae1
2021-08-01,376,2021-04-24,Creeds,Nigeria,Nasarawa,9.0393203,7.6014256,AAM3000,https://api.twilio.com/2010-04-01/Accounts/ACf3133f0d3d678bc436faac9eee8e41df/Messages/MM244b415cf447cac01586a9b3fa6b7f75/Media/MEaa90797563d04dc84bda8cff82645afb,https://api.twilio.com/2010-04-01/Accounts/ACf3133f0d3d678bc436faac9eee8e41df/Messages/MMa87c306b1016d4fc7eee8990308b017a/Media/ME9f9b665086bbb7d45750eafbc1c193d5
2021-07-28,602,2021-06-13,Creeds,Nigeria,Abuja,9.0248983,7.5996183,AAM3000,https://api.twilio.com/2010-04-01/Accounts/ACf3133f0d3d678bc436faac9eee8e41df/Messages/MMadb5124810e93655a987f88c946a4377/Media/ME3d03cf2961b23970366e8331b9cd35f2,https://api.twilio.com/2010-04-01/Accounts/ACf3133f0d3d678bc436faac9eee8e41df/Messages/MM69e51b4e79068c384ad952fca3b139f1/Media/ME9321e71a98b333ba3682ee090e086fb4
2021-07-28,283,2021-04-04,Creeds,Nigeria,Nasarawa,9.0344284,7.6058305,AAM3000,https://api.twilio.com/2010-04-01/Accounts/ACf3133f0d3d678bc436faac9eee8e41df/Messages/MM836f330084560b5d323b4fb8c36354ac/Media/ME237cf17475bea7d47dc1ef6865440839,https://api.twilio.com/2010-04-01/Accounts/ACf3133f0d3d678bc436faac9eee8e41df/Messages/MM5327a9cc7464b9c0dbeed63ca759963a/Media/ME81f01fae096b424ae88bc9930e9c5b40
2021-07-28,316,2021-06-05,Creeds,Nigeria,Nasarawa,9.0406849,7.6017644,AAM3000,https://api.twilio.com/2010-04-01/Accounts/ACf3133f0d3d678bc436faac9eee8e41df/Messages/MMc52de4fa339747c5aed68cbf28d671fa/Media/ME7e17c9b65e0241b85e0c43ab05dfeae5,https://api.twilio.com/2010-04-01/Accounts/ACf3133f0d3d678bc436faac9eee8e41df/Messages/MM029e6ad7393a310aff343073441c0c53/Media/MEcab43cdb20419eb902470f271e409e69
2021-07-27,698,2021-06-13,Creeds energy,Nigeria,"Calabar, Cross River State",5.0005392,8.3419492,AAM1000,https://api.twilio.com/2010-04-01/Accounts/ACf3133f0d3d678bc436faac9eee8e41df/Messages/MM0148cf6aba2c23fdab407d00da09924c/Media/ME92d0185fbb4e07c3b0b1e640b5653226,https://api.twilio.com/2010-04-01/Accounts/ACf3133f0d3d678bc436faac9eee8e41df/Messages/MMa8de834e7a93ee4a761e649bfac23b86/Media/ME3a3e1e0862c3a4f6bcb5b939bb588314
2021-07-24,528,2021-06-17,Creeds energy,Nigeria,"Calabar, Cross River State",4.9870758,8.3325125,AAM1000,https://api.twilio.com/2010-04-01/Accounts/ACf3133f0d3d678bc436faac9eee8e41df/Messages/MMd68b8cb9f9a441d6bae2e19e5829f3d4/Media/ME31c7edcc7bec0dd29ac5587cfc40eb4e,https://api.twilio.com/2010-04-01/Accounts/ACf3133f0d3d678bc436faac9eee8e41df/Messages/MM7497dbd44e3175e1500f5cac0fdbc73a/Media/MEf0c424e229c44249975ca7194802ac23
2021-07-23,524,2021-07-22,Creeds energy,Nigeria,Uyo,5.0431234,7.8911626,AAM1000,https://api.twilio.com/2010-04-01/Accounts/ACf3133f0d3d678bc436faac9eee8e41df/Messages/MM0ae6c088c2daab69ecd8889bbc3a1268/Media/MEf3502e595f847a5e3b2c5434d2b5cb47,https://api.twilio.com/2010-04-01/Accounts/ACf3133f0d3d678bc436faac9eee8e41df/Messages/MM43aaf80d3bb0a2dc0195cb6b427f931b/Media/MEf36f15c3a9648cec8371c9eeeace2d64
2021-07-20,1167,2021-07-20,Consistent energy,Nigeria,Lagos,6.6370417,3.3803933,AAM3000,https://api.twilio.com/2010-04-01/Accounts/ACf3133f0d3d678bc436faac9eee8e41df/Messages/MM72d324d5959fc3b0d1ecdec8ae47e6b7/Media/ME18595b5fdcc5e9786ab0991b768af228,https://api.twilio.com/2010-04-01/Accounts/ACf3133f0d3d678bc436faac9eee8e41df/Messages/MMa37520953a891b2011661d7babe2ccaf/Media/ME26d7e1db8554f00e62a6cf9728f6453f
2021-07-16,511,2021-06-12,Creeds,Nageria,Nasarawa lafia,8.498564734312026,8.506979942321777,AAM1000,https://api.twilio.com/2010-04-01/Accounts/ACf3133f0d3d678bc436faac9eee8e41df/Messages/MMa0722669a3c29a48a39b2c5c9bdfb241/Media/ME7c50f54812a14109068d4d5dced1519c,https://api.twilio.com/2010-04-01/Accounts/ACf3133f0d3d678bc436faac9eee8e41df/Messages/MM24ac8bbbdee66308a678da8fde8bffac/Media/ME53b4dd998615d8b341be9e3c008b1c2d